,full_name,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power
3723,hyundai creta,9.7,2017,Dealer,61462,First Owner,Diesel,Manual,21.38,1396,88.7
3724,tata indica,2.0,2007,Individual,183000,First Owner,Diesel,Manual,17.2,1396,53.5
3725,maruti swift,3.95,2013,Dealer,52000,First Owner,Diesel,Manual,28.4,1248,74.02
3726,skoda rapid,5.7,2016,Dealer,50000,First Owner,Petrol,Manual,15.0,1598,103.52
3727,honda jazz,3.25,2011,Dealer,66000,First Owner,Petrol,Manual,16.0,1198,90.0
3728,hyundai i20,3.1,2010,Individual,90000,First Owner,Diesel,Manual,23.0,1396,90.0
3729,maruti eeco,3.65,2015,Dealer,59000,First Owner,Petrol,Manual,15.1,1196,73.0
3730,hyundai i10,3.35,2012,Dealer,40000,First Owner,Petrol,Automatic,16.95,1197,78.9
3731,mercedesbenz eclass,20.7,2014,Individual,40000,First Owner,Diesel,Automatic,13.0,2143,204.0
3732,chevrolet beat,3.0,2016,Individual,35000,First Owner,Petrol,Manual,18.6,1199,76.8
3733,tata manza,3.5,2011,Individual,90000,First Owner,Diesel,Manual,21.12,1248,88.8
3734,mahindra xuv500,8.75,2016,Individual,95000,First Owner,Diesel,Automatic,16.0,2179,140.0
3735,toyota innova,4.65,2008,Dealer,85216,First Owner,Diesel,Manual,12.8,2494,102.0
3736,tata safari,2.8,2012,Individual,100000,First Owner,Diesel,Manual,11.57,2179,138.1
3737,hyundai verna,7.0,2016,Individual,100000,First Owner,Diesel,Manual,23.9,1582,126.2
3738,mahindra scorpio,4.75,2010,Dealer,97000,First Owner,Diesel,Manual,10.5,2179,120.0
3739,hyundai i20,5.4,2016,Individual,90000,First Owner,Diesel,Manual,22.54,1396,88.73
3740,hyundai grand,4.9,2017,Individual,7000,First Owner,Petrol,Manual,18.9,1197,82.0
3741,maruti vitara,8.3,2017,Individual,80000,First Owner,Diesel,Manual,24.3,1248,88.5
3742,maruti swift,5.4,2015,Dealer,56562,First Owner,Diesel,Manual,25.2,1248,74.0
3743,maruti swift,5.5,2018,Individual,25000,First Owner,Petrol,Manual,22.0,1197,81.8
3744,volkswagen polo,4.91,2015,Dealer,46000,First Owner,Petrol,Manual,16.47,1198,74.0
3745,maruti ciaz,6.11,2015,Dealer,36681,First Owner,Petrol,Manual,20.73,1373,91.1
3746,hyundai creta,9.25,2016,Dealer,80000,First Owner,Petrol,Manual,13.0,1591,121.3
3747,mahindra bolero,2.6,2009,Individual,100000,First Owner,Diesel,Manual,13.6,2523,63.0
3748,toyota innova,11.51,2015,Dealer,199253,First Owner,Diesel,Manual,12.99,2494,100.6
3749,land rover,32.0,2016,Dealer,27690,First Owner,Diesel,Automatic,12.81,1999,148.31
3750,tata safari,4.25,2013,Individual,120000,First Owner,Diesel,Manual,14.0,2179,138.1
3751,maruti wagon,4.21,2016,Dealer,22756,First Owner,Petrol,Manual,21.79,998,67.05
3752,tata safari,4.5,2013,Dealer,63000,First Owner,Diesel,Manual,13.93,2179,138.03
3753,maruti alto,0.6,2006,Individual,80000,First Owner,Petrol,Manual,19.7,796,46.3
3754,mahindra bolero,4.6,2014,Individual,86000,First Owner,Diesel,Manual,15.96,2523,62.1
3755,skoda rapid,5.25,2015,Dealer,27000,First Owner,Petrol,Manual,15.0,1598,103.6
3756,hyundai i20,7.5,2018,Dealer,55373,First Owner,Diesel,Manual,22.54,1396,88.73
3757,tata indigo,1.25,2008,Individual,51000,First Owner,Petrol,Manual,14.4,1396,65.0
3758,maruti scross,10.5,2018,Dealer,28000,First Owner,Diesel,Manual,25.1,1248,88.5
3759,hyundai creta,10.15,2018,Dealer,22000,First Owner,Diesel,Manual,22.1,1396,88.7
3760,mercedesbenz mclass,16.95,2013,Dealer,110000,First Owner,Diesel,Automatic,15.26,2143,203.2
3761,maruti ertiga,7.11,2013,Dealer,80000,First Owner,Diesel,Manual,20.77,1248,88.8
3762,maruti swift,4.6,2012,Individual,120000,First Owner,Diesel,Manual,19.3,1248,73.9
3763,mahindra xuv500,6.15,2012,Dealer,68420,First Owner,Diesel,Manual,15.1,2179,140.0
3764,maruti swift,5.95,2014,Dealer,63000,First Owner,Diesel,Manual,23.4,1248,74.0
3765,maruti ciaz,7.55,2018,Dealer,35000,First Owner,Diesel,Manual,26.32,1498,93.87
3766,volkswagen crosspolo,5.65,2016,Dealer,72815,First Owner,Diesel,Manual,20.14,1498,88.73
3767,mercedesbenz eclass,45.0,2018,Dealer,15200,First Owner,Diesel,Automatic,16.1,1950,191.7
3768,maruti eeco,3.2,2016,Individual,64850,First Owner,CNG,Manual,16.17,1196,61.7
3769,mahindra xuv500,9.45,2015,Dealer,51000,First Owner,Diesel,Manual,15.1,2179,140.0
3770,hyundai i20,6.0,2017,Dealer,48000,First Owner,Petrol,Manual,18.6,1197,81.83
3771,maruti zen,1.6,2009,Individual,40000,First Owner,Petrol,Manual,18.2,998,67.1
3772,hyundai verna,4.21,2011,Dealer,58222,First Owner,Diesel,Manual,22.32,1582,126.32
3773,toyota fortuner,12.49,2012,Dealer,75000,First Owner,Diesel,Manual,13.0,2982,168.5
3774,maruti alto,1.75,2008,Dealer,30008,First Owner,Petrol,Manual,19.7,796,46.3
3775,maruti baleno,8.4,2018,Dealer,10398,First Owner,Diesel,Manual,27.39,1248,74.0
3776,maruti zen,1.75,2008,Individual,35000,First Owner,Petrol,Manual,18.2,998,67.1
3777,maruti swift,5.5,2016,Individual,90000,First Owner,Petrol,Manual,20.85,1197,83.14
3778,mahindra scorpio,6.25,2013,Dealer,64253,First Owner,Diesel,Manual,14.0,2523,75.0
3779,nissan sunny,2.85,2011,Individual,80000,First Owner,Petrol,Manual,16.95,1498,97.7
3780,hyundai grand,4.8,2017,Individual,30000,First Owner,Petrol,Manual,18.9,1197,81.86
3781,hyundai verna,4.85,2013,Dealer,64308,First Owner,Diesel,Automatic,18.0,1582,126.2
3782,maruti alto,1.75,2010,Dealer,53503,First Owner,Petrol,Manual,19.7,796,46.3
3783,hyundai verna,5.75,2014,Trustmark Dealer,24835,First Owner,Petrol,Manual,17.43,1396,105.5
3784,maruti swift,5.0,2017,Dealer,14000,First Owner,Petrol,Manual,20.4,1197,81.8
3785,maruti a,2.35,2011,Dealer,48000,First Owner,Petrol,Manual,19.0,998,66.1
3786,mercedesbenz eclass,12.5,2011,Dealer,46000,First Owner,Petrol,Automatic,10.93,3498,272.0
3787,honda city,6.7,2015,Dealer,48623,First Owner,Petrol,Manual,17.8,1498,119.35
3788,maruti swift,4.9,2014,Dealer,96000,First Owner,Diesel,Manual,28.4,1248,74.0
3789,hyundai i20,7.51,2018,Dealer,23000,First Owner,Petrol,Manual,18.6,1197,81.83
3790,hyundai verna,5.5,2012,Dealer,88500,First Owner,Diesel,Manual,22.32,1582,126.32
3791,tata tiago,5.35,2017,Dealer,11500,First Owner,Petrol,Automatic,23.84,1199,83.83
3792,ford ecosport,6.55,2015,Dealer,29500,First Owner,Petrol,Automatic,15.63,1499,110.4
3793,volkswagen polo,7.5,2017,Dealer,51952,First Owner,Diesel,Manual,20.14,1498,88.0
3794,maruti scross,9.5,2018,Dealer,60700,First Owner,Diesel,Manual,25.1,1248,88.5
3795,mahindra bolero,4.0,2010,Individual,90000,First Owner,Diesel,Manual,13.6,2523,63.0
3796,tata tiago,5.65,2018,Dealer,5000,First Owner,Petrol,Manual,23.84,1199,84.0
3797,maruti alto,1.6,2011,Dealer,9000,First Owner,Petrol,Manual,19.7,796,46.3
3798,audi q3,14.75,2013,Dealer,39317,First Owner,Diesel,Automatic,15.73,1968,174.33
3799,honda city,3.25,2010,Dealer,34000,First Owner,Petrol,Manual,17.0,1497,118.0
3800,hyundai santa,7.5,2013,Dealer,66000,First Owner,Diesel,Automatic,11.72,2199,194.3
3801,volvo xc90,43.5,2015,Individual,80000,First Owner,Diesel,Automatic,17.2,1969,235.0
3802,volvo s60,25.5,2018,Dealer,10000,First Owner,Diesel,Automatic,9.0,1984,181.0
3803,hyundai i20,3.85,2014,Dealer,41000,First Owner,Petrol,Manual,18.5,1197,80.0
3804,renault duster,9.0,2017,Individual,7489,First Owner,Diesel,Manual,19.6,1461,108.45
3805,maruti ciaz,8.95,2018,Dealer,41000,First Owner,Petrol,Automatic,19.12,1373,91.1
3806,maruti vitara,8.25,2016,Dealer,53085,First Owner,Diesel,Manual,24.3,1248,88.5
3807,hyundai i20,5.35,2014,Dealer,44000,First Owner,Petrol,Manual,17.0,1197,80.0
3808,volkswagen vento,2.6,2011,Dealer,84000,First Owner,Petrol,Manual,15.04,1598,103.6
3809,volkswagen passat,24.45,2018,Dealer,32500,First Owner,Diesel,Automatic,17.42,1968,175.0
3810,volkswagen polo,6.95,2017,Dealer,49000,First Owner,Petrol,Automatic,17.21,1197,103.6
3811,mercedesbenz cclass,21.0,2015,Individual,35000,First Owner,Petrol,Automatic,14.74,1991,181.04
3812,toyota innova,17.5,2017,Dealer,60100,First Owner,Diesel,Automatic,11.36,2755,171.5
3813,maruti swift,1.45,2006,Dealer,55000,First Owner,Petrol,Manual,16.1,1197,85.0
3814,maruti ritz,4.25,2016,Dealer,76812,First Owner,Diesel,Manual,21.1,1248,73.9
3815,maruti ritz,4.35,2015,Dealer,81000,First Owner,Diesel,Manual,23.2,1248,73.94
3816,renault triber,6.6,2019,Individual,10000,First Owner,Petrol,Manual,20.0,999,72.0
3817,mercedesbenz eclass,10.5,2011,Individual,40000,First Owner,Diesel,Automatic,14.21,2143,203.0
3818,maruti ertiga,4.95,2012,Dealer,90339,First Owner,Petrol,Manual,16.02,1373,93.7
3819,hyundai grand,4.95,2016,Individual,14000,First Owner,Petrol,Manual,18.9,1197,82.0
3820,tata indica,0.7,2007,Individual,70000,First Owner,Diesel,Manual,17.88,1396,52.8
3821,skoda rapid,3.25,2013,Dealer,69000,First Owner,Petrol,Manual,15.0,1598,105.0
3822,honda city,1.13,2006,Individual,89000,First Owner,Petrol,Manual,17.7,1497,78.0
3823,mahindra scorpio,8.0,2014,Individual,120000,First Owner,Diesel,Manual,15.4,2179,120.0
3824,hyundai verna,12.45,2018,Dealer,26000,First Owner,Diesel,Automatic,19.08,1582,126.2
3825,tata safari,2.5,2010,Individual,120000,First Owner,Diesel,Manual,13.93,2179,138.1
3826,volkswagen vento,5.4,2014,Dealer,59200,First Owner,Petrol,Automatic,16.93,1197,103.2
3827,maruti alto,3.5,2018,Individual,35000,First Owner,Petrol,Manual,23.95,998,67.1
3828,volkswagen passat,4.0,2008,Individual,168877,First Owner,Diesel,Automatic,14.3,1968,140.0
3829,maruti ertiga,6.6,2013,Individual,197000,First Owner,Diesel,Manual,20.77,1248,88.8
3830,mercedesbenz cclass,11.5,2012,Dealer,88000,First Owner,Diesel,Automatic,14.84,2143,170.0
3831,maruti baleno,7.0,2017,Dealer,21900,First Owner,Petrol,Automatic,19.56,1197,81.8
3832,maruti swift,4.8,2015,Dealer,43206,First Owner,Petrol,Manual,20.85,1197,83.14
3833,volkswagen polo,4.79,2014,Dealer,43000,First Owner,Petrol,Manual,16.47,1198,73.9
3834,tata sumo,1.7,2005,Individual,96000,First Owner,Diesel,Manual,12.2,1948,68.0
3835,tata indigo,2.5,2013,Individual,70000,First Owner,Diesel,Manual,23.03,1396,69.0
3836,hyundai creta,11.0,2017,Individual,77000,First Owner,Diesel,Manual,21.38,1396,88.7
3837,honda city,11.75,2018,Individual,27000,First Owner,Diesel,Manual,25.6,1498,97.9
3838,hyundai i20,2.99,2009,Dealer,50250,First Owner,Petrol,Automatic,15.0,1396,100.0
3839,tata tiago,4.5,2017,Dealer,52532,First Owner,Petrol,Manual,23.84,1199,84.0
3840,toyota etios,4.45,2015,Dealer,23000,First Owner,Petrol,Manual,18.16,1197,78.8
3841,hyundai eon,2.28,2013,Individual,20000,First Owner,LPG,Manual,15.55,814,55.2
3842,hyundai i20,6.25,2015,Dealer,12000,First Owner,Petrol,Manual,18.6,1197,81.83
3843,renault kwid,4.1,2018,Dealer,15235,First Owner,Petrol,Manual,23.01,999,67.0
3844,skoda fabia,2.25,2008,Individual,70000,First Owner,Petrol,Manual,14.7,1390,85.0
3845,audi q3,25.5,2018,Dealer,36000,First Owner,Diesel,Manual,17.32,1968,138.13
3846,hyundai i20,5.0,2013,Dealer,49000,First Owner,Petrol,Manual,18.5,1197,82.85
3847,bmw 3,25.5,2017,Dealer,57000,First Owner,Petrol,Automatic,15.34,1998,248.0
3848,honda city,6.95,2014,Dealer,39000,First Owner,Petrol,Automatic,18.0,1497,117.3
3849,skoda rapid,3.95,2013,Dealer,30000,First Owner,Petrol,Manual,15.0,1598,103.52
3850,honda city,3.0,2010,Dealer,92000,First Owner,Petrol,Manual,17.0,1497,118.0
3851,hyundai xcent,4.95,2015,Dealer,21800,First Owner,Petrol,Manual,19.1,1197,81.86
3852,maruti swift,1.49,2007,Individual,60000,First Owner,Petrol,Manual,16.1,1298,88.2
3853,audi a6,8.57,2011,Individual,105000,First Owner,Diesel,Automatic,12.4,2698,179.5
3854,maruti swift,7.45,2018,Dealer,29500,First Owner,Petrol,Automatic,21.21,1197,81.8
3855,maruti alto,3.2,2015,Dealer,17000,First Owner,Petrol,Manual,23.95,998,67.1
3856,renault kwid,3.49,2017,Dealer,20966,First Owner,Petrol,Manual,25.17,799,53.3
3857,mahindra xuv500,6.75,2013,Dealer,73000,First Owner,Diesel,Manual,15.1,2179,140.0
3858,toyota innova,18.5,2018,Dealer,27000,First Owner,Diesel,Automatic,11.36,2755,171.5
3859,skoda octavia,11.0,2014,Dealer,59864,First Owner,Diesel,Manual,18.7,1896,66.0
3860,honda jazz,5.9,2015,Dealer,31298,First Owner,Petrol,Automatic,19.0,1199,88.7
3861,renault pulse,2.75,2013,Dealer,53000,First Owner,Petrol,Manual,18.06,1198,74.93
3862,maruti ciaz,8.85,2017,Dealer,13000,First Owner,Diesel,Manual,28.09,1248,88.5
3863,hyundai verna,4.9,2013,Dealer,59000,First Owner,Diesel,Manual,23.5,1396,88.7
3864,hyundai i20,3.71,2010,Dealer,78000,First Owner,Petrol,Manual,17.0,1197,80.0
3865,ford figo,1.69,2010,Dealer,45000,First Owner,Petrol,Manual,15.6,1196,70.0
3866,maruti ertiga,7.75,2017,Dealer,39000,First Owner,Petrol,Manual,17.5,1373,91.1
3867,hyundai santro,5.3,2019,Individual,4800,First Owner,Petrol,Manual,20.3,1086,68.0
3868,bmw 5,25.75,2015,Dealer,67000,First Owner,Diesel,Automatic,18.12,1995,190.0
3869,honda amaze,4.35,2015,Dealer,21000,First Owner,Petrol,Manual,18.0,1198,86.7
3870,toyota innova,9.96,2014,Dealer,115000,First Owner,Diesel,Manual,12.8,2494,102.0
3871,maruti celerio,4.85,2017,Dealer,55001,First Owner,Petrol,Automatic,23.1,998,67.04
3872,toyota innova,8.75,2013,Dealer,82326,First Owner,Diesel,Manual,12.99,2494,100.6
3873,honda amaze,5.5,2014,Individual,100000,First Owner,Diesel,Manual,25.8,1498,98.6
3874,maruti celerio,4.75,2017,Dealer,39400,First Owner,CNG,Manual,23.43,998,58.2
3875,hyundai i20,6.0,2019,Individual,3000,First Owner,Petrol,Manual,18.6,1197,81.83
3876,mercedesbenz gla,29.0,2017,Individual,12000,First Owner,Petrol,Automatic,13.7,1991,183.0
3877,renault kwid,3.5,2019,Individual,5000,First Owner,Petrol,Manual,25.17,799,53.3
3878,honda city,8.25,2016,Trustmark Dealer,56436,First Owner,Petrol,Automatic,18.0,1497,117.3
3879,maruti wagon,4.75,2017,Dealer,18000,First Owner,Petrol,Manual,20.51,998,67.04
3880,lamborghini gallardo,150.0,2013,Dealer,4000,First Owner,Petrol,Automatic,6.4,5204,560.0
3881,mahindra tuv,7.5,2017,Individual,50000,First Owner,Diesel,Manual,18.49,1493,100.0
3882,nissan micra,1.92,2013,Individual,70000,First Owner,Petrol,Manual,19.49,1198,67.04
3883,jaguar xj,110.0,2019,Individual,5400,First Owner,Diesel,Automatic,14.47,2993,301.73
3884,maruti ertiga,6.4,2013,Individual,39000,First Owner,Diesel,Manual,20.77,1248,88.8
3885,renault kwid,3.65,2018,Dealer,20000,First Owner,Petrol,Manual,25.17,799,53.3
3886,ford aspire,6.5,2017,Individual,25000,First Owner,Diesel,Manual,24.29,1498,99.0
3887,audi q5,15.25,2013,Dealer,70000,First Owner,Diesel,Automatic,14.16,1968,174.3
3888,chevrolet captiva,6.25,2013,Dealer,90000,First Owner,Diesel,Automatic,12.12,2231,184.0
3889,hyundai santa,14.0,2014,Dealer,85081,First Owner,Diesel,Automatic,13.01,2199,194.3
3890,hyundai i20,2.04,2010,Individual,220000,First Owner,Petrol,Manual,17.0,1197,80.0
3891,tata indica,1.25,2009,Individual,70000,First Owner,Petrol,Manual,15.8,1172,65.0
3892,mahindra tuv,8.9,2018,Dealer,7000,First Owner,Diesel,Automatic,18.49,1493,100.0
3893,hyundai i20,4.35,2012,Dealer,66259,First Owner,Diesel,Manual,21.9,1396,90.0
3894,honda amaze,4.25,2013,Dealer,57239,First Owner,Petrol,Manual,18.0,1198,86.7
3895,honda city,7.15,2017,Dealer,45000,First Owner,Petrol,Manual,17.4,1497,117.6
3896,hyundai verna,5.4,2013,Dealer,65000,First Owner,Diesel,Manual,22.32,1582,126.3
3897,maruti ciaz,6.75,2017,Dealer,54552,First Owner,Petrol,Manual,20.73,1373,91.1
3898,mahindra bolero,6.35,2015,Dealer,78028,First Owner,Diesel,Manual,15.96,2523,62.1
3899,volkswagen polo,5.25,2016,Dealer,110000,First Owner,Petrol,Manual,16.2,1199,74.0
3900,hyundai i10,2.75,2012,Dealer,59000,First Owner,Petrol,Manual,19.81,1086,68.05
3901,maruti ritz,4.6,2013,Individual,5209,First Owner,Petrol,Manual,18.5,1197,85.8
3902,maruti swift,4.5,2015,Individual,96000,First Owner,Diesel,Manual,26.59,1248,74.0
3903,hyundai grand,5.2,2017,Dealer,41000,First Owner,Petrol,Manual,18.9,1197,82.0
3904,ford aspire,4.9,2015,Dealer,65000,First Owner,Diesel,Manual,25.83,1498,99.0
3905,honda amaze,2.95,2013,Dealer,51112,First Owner,Petrol,Automatic,15.5,1198,86.7
3906,mahindra bolero,5.0,2013,Individual,280000,First Owner,Diesel,Manual,15.96,2523,63.0
3907,hyundai creta,10.85,2017,Dealer,24900,First Owner,Petrol,Automatic,13.0,1591,121.3
3908,renault pulse,2.8,2013,Dealer,85000,First Owner,Diesel,Manual,23.08,1461,63.1
3909,hyundai verna,10.25,2019,Individual,20000,First Owner,Petrol,Manual,17.0,1591,121.3
3910,mahindra tuv,8.5,2017,Dealer,83000,First Owner,Diesel,Manual,18.49,1493,100.0
3911,maruti vitara,9.75,2018,Dealer,20613,First Owner,Diesel,Automatic,24.3,1248,88.5
3912,chevrolet beat,2.7,2014,Dealer,66452,First Owner,Diesel,Manual,25.44,936,56.3
3913,maruti ertiga,8.75,2018,Dealer,42000,First Owner,CNG,Manual,12.9,1373,80.46
3914,audi a4,11.0,2012,Individual,120000,First Owner,Petrol,Automatic,10.8,1984,132.0
3915,maruti swift,3.1,2010,Dealer,78000,First Owner,Diesel,Manual,19.3,1248,73.9
3916,bmw 3,13.45,2012,Dealer,61000,First Owner,Diesel,Automatic,18.88,1995,184.0
3917,maruti ignis,6.4,2019,Dealer,11000,First Owner,Petrol,Automatic,20.89,1197,81.8
3918,bmw x1,30.0,2018,Dealer,23000,First Owner,Diesel,Automatic,20.68,1995,190.0
3919,fiat linea,4.5,2015,Individual,120000,First Owner,Diesel,Manual,20.4,1248,91.7
3920,ford ecosport,9.5,2018,Dealer,29500,First Owner,Diesel,Manual,23.0,1498,98.96
3921,honda city,5.9,2014,Dealer,26000,First Owner,Diesel,Manual,26.0,1498,98.6
3922,bmw x1,11.5,2014,Dealer,116653,First Owner,Diesel,Automatic,17.05,1995,184.0
3923,bmw 7,85.0,2018,Individual,50000,First Owner,Diesel,Automatic,16.77,2993,261.49
3924,tata tigor,5.75,2018,Dealer,9500,First Owner,Petrol,Automatic,20.3,1199,84.0
3925,mahindra bolero,3.0,2005,Individual,211121,First Owner,Diesel,Manual,13.6,2523,63.0
3926,maruti swift,8.16,2019,Dealer,20000,First Owner,Diesel,Manual,26.59,1248,74.0
3927,hyundai eon,3.18,2017,Dealer,11517,First Owner,Petrol,Manual,21.1,814,55.2
3928,mahindra thar,8.5,2018,Dealer,30000,First Owner,Diesel,Manual,16.55,2498,105.0
3929,volkswagen ameo,7.75,2017,Dealer,6990,First Owner,Diesel,Automatic,22.0,1498,108.495
3930,volkswagen polo,5.5,2016,Dealer,20000,First Owner,Petrol,Manual,16.2,1199,74.0
3931,honda mobilio,5.9,2015,Dealer,67270,First Owner,Petrol,Manual,17.3,1497,117.3
3932,jaguar xj,43.25,2015,Dealer,25000,First Owner,Diesel,Automatic,10.5,2993,271.23
3933,mahindra tuv,6.75,2015,Dealer,44000,First Owner,Diesel,Manual,18.49,1493,100.0
3934,maruti swift,3.6,2011,Dealer,80000,First Owner,Diesel,Manual,19.3,1248,73.9
3935,mahindra thar,8.35,2018,Dealer,32707,First Owner,Diesel,Manual,16.55,2498,105.0
3936,toyota corolla,7.0,2012,Dealer,104000,First Owner,Diesel,Manual,21.43,1364,87.2
3937,audi a3,15.5,2015,Dealer,56897,First Owner,Diesel,Automatic,20.38,1968,143.0
3938,hyundai grand,4.85,2015,Dealer,94870,First Owner,Diesel,Manual,24.0,1120,70.0
3939,mahindra kuv,4.35,2016,Dealer,20200,First Owner,Diesel,Manual,25.32,1198,77.0
3940,hyundai eon,2.75,2015,Individual,40000,First Owner,Petrol,Manual,21.1,814,55.2
3941,chevrolet beat,2.25,2012,Dealer,90683,First Owner,Diesel,Manual,25.44,936,57.6
3942,tata indigo,1.6,2010,Individual,66000,First Owner,Diesel,Manual,19.61,1405,70.0
3943,hyundai i20,8.0,2019,Dealer,18000,First Owner,Diesel,Manual,22.54,1396,88.76
3944,volkswagen vento,6.95,2015,Dealer,49000,First Owner,Diesel,Automatic,21.21,1498,103.2
3945,maruti wagon,4.7,2017,Dealer,25649,First Owner,Petrol,Automatic,21.5,1197,81.8
3946,maruti zen,1.35,2007,Dealer,8900,First Owner,Petrol,Manual,19.0,998,67.1
3947,ford ecosport,5.35,2014,Dealer,63000,First Owner,Petrol,Manual,18.88,999,123.37
3948,hyundai i10,3.9,2016,Individual,15000,First Owner,Petrol,Manual,19.81,1086,68.05
3949,nissan kicks,8.9,2019,Dealer,4000,First Owner,Petrol,Manual,14.23,1498,104.55
3950,maruti vitara,8.0,2017,Dealer,38000,First Owner,Diesel,Manual,24.3,1248,88.5
3951,hyundai i20,5.65,2015,Dealer,23000,First Owner,Petrol,Manual,18.6,1197,81.83
3952,hyundai eon,3.2,2016,Dealer,31034,First Owner,Petrol,Manual,21.1,814,55.2
3953,mahindra tuv,8.7,2018,Dealer,6000,First Owner,Diesel,Automatic,18.49,1493,100.0
3954,honda jazz,3.25,2011,Dealer,58000,First Owner,Petrol,Manual,16.0,1198,90.0
3955,tata hexa,9.85,2017,Dealer,93000,First Owner,Diesel,Manual,17.6,2179,153.86
3956,hyundai i20,3.8,2014,Dealer,44000,First Owner,Petrol,Manual,18.5,1197,82.85
3957,bmw 7,25.5,2013,Dealer,39800,First Owner,Diesel,Automatic,14.49,2993,258.0
3958,maruti swift,7.85,2018,Dealer,15210,First Owner,Petrol,Automatic,21.21,1197,81.8
3959,honda amaze,5.8,2016,Dealer,75225,First Owner,Diesel,Manual,25.8,1498,98.6
3960,bmw x1,30.0,2018,Dealer,22000,First Owner,Diesel,Automatic,17.05,1995,184.0
3961,ford ecosport,10.5,2019,Dealer,10787,First Owner,Diesel,Manual,21.7,1498,98.96
3962,maruti dzire,4.4,2014,Dealer,66250,First Owner,Petrol,Manual,23.26,1197,88.5
3963,hyundai verna,8.65,2017,Dealer,28900,First Owner,Petrol,Manual,17.01,1591,121.3
3964,mercedesbenz cclass,13.25,2011,Dealer,88002,First Owner,Diesel,Automatic,15.8,2143,170.0
3965,toyota innova,7.29,2012,Dealer,93000,First Owner,Diesel,Manual,12.99,2494,100.0
3966,maruti ertiga,7.8,2017,Individual,40000,First Owner,Petrol,Automatic,17.03,1373,91.1
3967,hyundai eon,3.06,2017,Dealer,24500,First Owner,Petrol,Manual,21.1,814,55.2
3968,hyundai eon,3.0,2016,Individual,45000,First Owner,Petrol,Manual,21.1,814,55.2
3969,maruti zen,0.59,2002,Individual,60000,First Owner,Petrol,Manual,17.3,993,60.0
3970,hyundai xcent,4.5,2017,Individual,60000,First Owner,Diesel,Manual,24.4,1120,71.0
3971,hyundai xcent,4.4,2014,Dealer,74373,First Owner,Petrol,Manual,19.1,1197,82.0
3972,hyundai i20,4.5,2012,Individual,134000,First Owner,Diesel,Manual,23.0,1396,90.0
3973,renault kwid,3.3,2018,Individual,25000,First Owner,Petrol,Manual,25.17,799,53.3
3974,bmw x3,27.5,2016,Dealer,66000,First Owner,Diesel,Automatic,18.56,1995,187.7
3975,maruti baleno,7.0,2016,Individual,30000,First Owner,Diesel,Manual,27.39,1248,74.0
3976,skoda fabia,3.11,2011,Dealer,89000,First Owner,Diesel,Manual,20.86,1199,75.0
3977,maruti sx4,7.0,2016,Individual,100000,First Owner,Diesel,Manual,22.7,1598,118.0
3978,datsun go,3.1,2016,Individual,29500,First Owner,Petrol,Manual,20.63,1198,67.0
3979,maruti ertiga,8.75,2017,Dealer,77900,First Owner,Diesel,Manual,24.2,1498,93.87
3980,audi q5,28.99,2017,Dealer,39000,First Owner,Diesel,Automatic,14.16,1968,174.3
3981,mahindra ssangyong,9.5,2014,Individual,120000,First Owner,Diesel,Manual,12.83,2696,162.0
3982,hyundai grand,3.55,2013,Individual,43000,First Owner,Petrol,Manual,18.9,1197,82.0
3983,hyundai i20,6.3,2016,Dealer,18000,First Owner,Petrol,Manual,18.6,1197,81.83
3984,volkswagen polo,3.15,2011,Dealer,105000,First Owner,Diesel,Manual,22.07,1199,73.9
3985,maruti swift,4.25,2014,Individual,70000,First Owner,Petrol,Manual,19.1,1197,85.8
3986,renault kwid,3.25,2019,Individual,40000,First Owner,Petrol,Manual,25.17,799,53.3
3987,hyundai tucson,16.5,2017,Dealer,64000,First Owner,Diesel,Automatic,16.38,1995,183.0
3988,mercedesbenz cla,22.5,2016,Dealer,24000,First Owner,Diesel,Automatic,17.9,2143,136.0
3989,renault kwid,2.2,2016,Individual,40000,First Owner,Petrol,Manual,25.17,799,53.3
3990,maruti wagon,4.45,2016,Dealer,42000,First Owner,Petrol,Automatic,20.51,998,67.0
3991,renault duster,5.25,2017,Individual,80000,First Owner,Diesel,Manual,19.87,1461,83.8
3992,skoda octavia,11.25,2014,Dealer,80000,First Owner,Diesel,Automatic,19.3,1968,141.0
3993,chevrolet enjoy,3.99,2014,Dealer,84094,First Owner,Diesel,Manual,18.2,1248,73.8
3994,chevrolet beat,3.0,2013,Dealer,79000,First Owner,Diesel,Manual,25.44,936,57.6
3995,hyundai creta,7.9,2015,Dealer,73000,First Owner,Petrol,Manual,15.29,1591,121.3
3996,hyundai grand,5.85,2016,Trustmark Dealer,5301,First Owner,Petrol,Automatic,18.9,1197,82.0
3997,toyota innova,10.45,2014,Dealer,110000,First Owner,Diesel,Manual,12.99,2494,100.6
3998,tata tigor,4.0,2018,Individual,90000,First Owner,Petrol,Manual,20.3,1199,84.0
3999,mahindra xuv300,8.9,2019,Individual,4000,First Owner,Petrol,Manual,17.0,1197,108.6
4000,toyota fortuner,8.9,2010,Dealer,240000,First Owner,Diesel,Manual,11.5,2982,171.0
4001,volkswagen polo,4.75,2015,Dealer,61500,First Owner,Diesel,Manual,20.14,1498,88.8
4002,tata tiago,4.5,2018,Individual,30000,First Owner,Petrol,Manual,23.84,1199,84.0
